geneID	Sample_ID	normalized_counts	activity...15.Eos.hpf.	log2FoldChange	hgnc_symbol
1	ENSG00000198400	HH01_25296-25297	129.647437983548	remission	-1.70901010944156	NTRK1
2	ENSG00000010932	HH01_25296-25297	71.8837279908779	remission	-1.38187332532034	FMO1
3	ENSG00000170577	HH01_25296-25297	1.28363799983711	remission	-3.42128964457751	SIX2
4	ENSG00000115604	HH01_25296-25297	83.4364699894119	remission	-1.65037817596416	IL18R1
5	ENSG00000123610	HH01_25296-25297	38.5091399951132	remission	-3.78578580095593	TNFAIP6
6	ENSG00000197635	HH01_25296-25297	38.5091399951132	remission	-2.40965517307388	DPP4
7	ENSG00000012223	HH01_25296-25297	42.3600539946245	remission	-2.69055338021232	LTF
8	ENSG00000187527	HH01_25296-25297	43.6436919944616	remission	-2.28707374061086	ATP13A5
9	ENSG00000250696	HH01_25296-25297	10.2691039986968	remission	-1.99944391660188	LOC105377267
10	ENSG00000213759	HH01_25296-25297	3.85091399951132	remission	-1.78841637714613	UGT2B11
11	ENSG00000181617	HH01_25296-25297	2.56727599967421	remission	-2.46090634420046	FDCSP
12	ENSG00000233913	HH01_25296-25297	62.8982619920182	remission	-2.04149324170498	RPL10P9
13	ENSG00000213886	HH01_25296-25297	21.8218459972308	remission	-1.89570422401536	UBD
14	ENSG00000204681	HH01_25296-25297	241.323943969376	remission	-1.63362840867784	GABBR1
15	ENSG00000124334	HH01_25296-25297	17.9709319977195	remission	-1.96565344428074	IL9R
16	ENSG00000104267	HH01_25296-25297	94.9892119879459	remission	-2.32286318584219	CA2
17	ENSG00000238245	HH01_25296-25297	0	remission	-1.72083230963376	MYO5BP2
18	ENSG00000278910	HH01_25296-25297	11.552741998534	remission	-1.85247611232401	BANCR
19	ENSG00000181333	HH01_25296-25297	195.11297597524	remission	-1.48311992599877	HEPHL1
20	ENSG00000110944	HH01_25296-25297	41.0764159947874	remission	-2.13907855226596	IL23A
21	ENSG00000133110	HH01_25296-25297	30.8073119960905	remission	-3.9584419802995	POSTN
22	ENSG00000211933	HH01_25296-25297	0	remission	-1.64503642818873	IGHV6-1
23	ENSG00000140287	HH01_25296-25297	26.9563979965792	remission	-1.44698125855607	HDC
24	ENSG00000159713	HH01_25296-25297	28.2400359964163	remission	-1.92715052357629	TPPP3
25	ENSG00000275385	HH01_25296-25297	3.85091399951132	remission	-2.22108301563181	CCL18
26	ENSG00000237560	HH01_25296-25297	33.3745879957648	remission	-2.16878159747354	LINC01497
27	ENSG00000173918	HH01_25296-25297	92.4219359882716	remission	-1.51437704763712	C1QTNF1
28	ENSG00000099994	HH01_25296-25297	14.1200179982082	remission	-1.69751657326579	SUSD2
29	ENSG00000179750	HH01_25296-25297	47.4946059939729	remission	-1.58452747572555	APOBEC3B
