geneID	baseMean	log2FoldChange	lfcSE	pvalue	padj	hgnc_symbol	entrezgen
1	ENSG00000142609	16.4684506035161	-1.17447997999784	0.683203342751238	0.00407756890052666	0.0354285451471716	CFAP74	85452
2	ENSG00000142611	43.6351163959783	-1.92969848255224	0.58473202433494	0.000245167862845568	0.00518762401778232	PRDM16	63976
3	ENSG00000227589	3.35399828484711	-2.16576822236017	0.736439826768584	0.000708408265803609	0.0106780702683576	NA	NA
4	ENSG00000287586	1.08203208570669	-1.07155245211408	0.942928840898721	0.000359261940458538	0.00675897191885002	NA	NA
5	ENSG00000236948	12.7255305524328	-2.0134474848909	0.996110768745236	0.00331817829253349	0.030767460377988	NA	NA
6	ENSG00000116254	12.425271511622	-1.76509959651057	0.681291375283074	0.000174167359519339	0.00409937737965305	CHD5	26038
7	ENSG00000238290	14.2865438562747	-1.47593039893623	0.74283930995383	0.00363596339270383	0.0327820705641169	NA	NA
8	ENSG00000228423	7.00418085924113	-2.00603793441463	0.715983346435919	0.00395821571417106	0.0347014078957189	NA	NA
9	ENSG00000131686	4.15616735963282	-1.46096919699728	0.81268371632223	0.0040089759563573	0.0350254425854809	CA6	765
10	ENSG00000175262	6.77271437018254	-1.5264530053632	0.693083654020493	0.000859754488434611	0.0122121160347717	C1orf127	148345
11	ENSG00000204624	7.72857765985351	-1.49804702524925	0.913878461428785	0.00384054352481562	0.0339810685715688	DISP3	57540
12	ENSG00000162490	9.05558964466599	-1.28487761624911	0.704619211028339	0.00403920138461888	0.0352194000755452	DRAXIN	374946
13	ENSG00000120949	19.2988630759606	-1.36694308589234	0.62907466570472	0.00122447895752213	0.0156070261088283	TNFRSF8	943
14	ENSG00000287756	2.33370022653272	-3.0972649183835	0.758905240676777	2.98879087615723e-07	3.43348112234921e-05	NA	NA
15	ENSG00000278480	2.65544046027174	1.12755405567348	0.584008691703424	0.00646369005413564	0.0484581689572858	NA	NA
16	ENSG00000268869	11.8373438640514	-1.27656290397595	0.754144553538456	0.00470162782440821	0.0390763282905177	NA	NA
17	ENSG00000279151	1.53949224195957	-0.982294305880519	0.890218164959715	0.00652439159143664	0.0487442355664806	NA	NA
18	ENSG00000276747	5.17949587836995	-1.52825568820079	0.925221757198394	0.00392071530073775	0.0344894944566824	PADI6	353238
19	ENSG00000117148	10.9851332804738	-2.07501622810797	0.738643295535683	0.000427165772812252	0.00757342594718778	ACTL8	81569
20	ENSG00000117154	32.4051052216965	-1.94459000353746	0.611560584401397	0.000657225951421756	0.010094236731926	IGSF21	84966
21	ENSG00000009709	12.7334322756032	-2.07475737413737	0.844928558066011	0.000587458811068632	0.00933904385782235	PAX7	5081
22	ENSG00000188257	36.790249262651	2.0577236355871	0.760003933664162	6.37931040321891e-08	9.4528078130025e-06	PLA2G2A	5320
23	ENSG00000187980	2.24921834889735	-2.57988263168586	0.901035597619297	0.000131934775314103	0.0034080620566646	PLA2G2C	391013
24	ENSG00000158816	9.78925157228824	-2.17156790860929	0.697410645465716	0.000108419986331869	0.0029806893670112	VWA5B1	127731
25	ENSG00000226664	3.52290673934972	-1.88608487699111	0.976011927514765	0.00211355246870134	0.0227651438321615	NA	NA
26	ENSG00000236963	7.69399256196453	-1.65934101929356	0.91993915377097	0.0017705455106861	0.0200548460163647	NA	NA
27	ENSG00000158825	1293.41108622558	1.09319692696779	0.627024373666849	0.00427821775128316	0.0365767607921657	CDA	978
28	ENSG00000186543	1.62793346987973	-0.454175161937788	0.601474010940354	0.00471977696188051	0.0391998661627005	NA	NA
29	ENSG00000219073	5.9569699068682	-2.46213406843109	0.951165719319818	0.00232337981484811	0.024246798393103	CELA3B	23436
30	ENSG00000070886	4.6341795109253	-1.67885458784144	1.01287012961193	0.00113498282141239	0.014819763393253	EPHA8	2046
31	ENSG00000133216	37.3757760294138	-0.957778648157376	0.608713791278259	0.000328075342109783	0.00633399862713601	EPHB2	2048
32	ENSG00000215906	1.24454419597744	-1.65470020778638	1.23394762484855	0.00485066791658317	0.03994035857577	LACTBL1	646262
33	ENSG00000235052	2.46691021630951	-1.14248669063474	0.802212323430902	0.00236046104264797	0.0244940084055904	NA	NA
